Count:  114 | 31EF 1000111101111 Addr: 31EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  115 | 35EF 1010111101111 Addr: 35EF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  116 | 32EF 1001011101111 Addr: 32EF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  117 | 36EF 1011011101111 Addr: 36EF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  118 | 33EF 1001111101111 Addr: 33EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  119 | 37EF 1011111101111 Addr: 37EF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  120 | 38EF 1100011101111 Addr: 38EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  121 | 3CEF 1110011101111 Addr: 3CEF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  122 | 39EF 1100111101111 Addr: 39EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  123 | 3DEF 1110111101111 Addr: 3DEF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  124 | 3AEF 1101011101111 Addr: 3AEF | 0064 | 01100100 | Data: 0 | Clock: 1 | Enable: 1
Count:  125 | 3EEF 1111011101111 Addr: 3EEF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  126 | 3BEF 1101111101111 Addr: 3BEF | 0024 | 00100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  127 | 3FEF 1111111101111 Addr: 3FEF | 00A4 | 10100100 | Data: 0 | Clock: 1 | Enable: 0
Count:  128 | 00EF 0000011101111 Addr: 00EF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  129 | 04EF 0010011101111 Addr: 04EF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  130 | 01EF 0000111101111 Addr: 01EF | 0025 | 00100101 | Data: 0 | Clock: 1 | Enable: 0
Count:  131 | 05EF 0010111101111 Addr: 05EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  132 | 02EF 0001011101111 Addr: 02EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
Count:  133 | 06EF 0011011101111 Addr: 06EF | 0045 | 01000101 | Data: 0 | Clock: 0 | Enable: 1
Count:  134 | 03EF 0001111101111 Addr: 03EF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  135 | 07EF 0011111101111 Addr: 07EF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  136 | 08EF 0100011101111 Addr: 08EF | 007D | 01111101 | Data: 1 | Clock: 1 | Enable: 1
Count:  137 | 0CEF 0110011101111 Addr: 0CEF | 005D | 01011101 | Data: 1 | Clock: 0 | Enable: 1
Count:  138 | 09EF 0100111101111 Addr: 09EF | 0065 | 01100101 | Data: 0 | Clock: 1 | Enable: 1
